,names,scores,logfoldchanges,pvals,pvals_adj
7183,AL096794.1,-0.10268394,-0.5523701,0.9182138204226545,0.9998513817660397
7184,AL137139.2,-0.10275637,-1.0363476,0.9181563285546942,0.9998513817660397
7185,PAPPA2,-0.10295299,-0.18077381,0.9180002813567704,0.9998513817660397
7186,MSH5,-0.102963336,-0.34555575,0.9179920684337988,0.9998513817660397
7187,AC016027.2,-0.10303578,-0.14318451,0.9179345782180642,0.9998513817660397
7188,CHAF1B,-0.10318065,-0.05933649,0.9178195990741326,0.9998513817660397
7189,RTKN2,-0.10323239,-0.12848133,0.9177785355105562,0.9998513817660397
7190,UNC93B1,-0.10354283,-0.5618331,0.9175321587388655,0.9998513817660397
7191,TPD52L1,-0.10359457,-0.20819029,0.9174910967128933,0.9998513817660397
7192,KCNS2,-0.1037084,-0.46972686,0.9174007610306343,0.9998513817660397
7193,TMEM220,-0.1037291,-0.36947736,0.9173843364756713,0.9998513817660397
7194,PLAT,-0.10377049,-0.10106449,0.9173514874715326,0.9998513817660397
7195,NOTCH2NLA,-0.10377049,-0.6033778,0.9173514874715326,0.9998513817660397
7196,AC005480.1,-0.10395675,-0.4205374,0.917203668699775,0.9998513817660397
7197,ASB13,-0.104039535,-0.2222205,0.9171379723863335,0.9998513817660397
